Date,Product,Category,Region,Sales,Price,Discount,Promotion,Stock_Available
2024-08-12,T-Shirt,Fashion,Chennai,610,56851,25,Yes,1434
2023-01-19,Biscuits,Grocery,Delhi,622,32878,10,No,4910
2024-09-28,Milk,Grocery,Delhi,347,45023,20,No,1353
2023-03-22,Oil,Grocery,Bangalore,441,26135,25,No,1489
2024-12-01,Headphones,Electronics,Chennai,757,29311,5,Yes,1918
2024-04-17,Smart Watch,Electronics,Hyderabad,739,51524,20,No,4894
2023-07-07,Milk,Grocery,Lucknow,390,49520,25,No,1904
2023-10-29,Backpack,Accessories,Kolkata,700,5971,10,Yes,362
2024-03-16,Backpack,Accessories,Pune,129,45798,20,No,2122
2024-09-30,Smart Watch,Electronics,Pune,733,44193,0,No,2028
2023-12-28,Shoes,Fashion,Bangalore,683,47066,30,No,4767
2024-06-18,Shoes,Fashion,Kolkata,251,38849,0,No,2830
2024-11-04,Headphones,Electronics,Jaipur,977,7801,10,Yes,4899
2023-10-03,Smart Watch,Electronics,Lucknow,825,53310,5,Yes,1193
2024-05-23,Wheat,Grocery,Lucknow,541,8072,0,Yes,4807
2023-03-30,Laptop,Electronics,Kolkata,711,75943,25,No,1739
2023-02-11,Shoes,Fashion,Mumbai,628,61495,25,Yes,4219
2024-12-22,Mobile,Electronics,Pune,859,50878,5,No,1217
2024-10-11,Mobile,Electronics,Hyderabad,707,62659,20,Yes,1443
2023-12-05,Jacket,Fashion,Ahmedabad,699,58131,10,No,2568
2024-07-12,Mobile,Electronics,Pune,615,79810,0,Yes,591
2023-06-18,T-Shirt,Fashion,Lucknow,540,76430,15,Yes,1622
2024-02-22,Smart Watch,Electronics,Jaipur,532,40288,15,No,3992
2024-08-30,Oil,Grocery,Bangalore,501,71963,20,No,3923
2023-02-23,Oil,Grocery,Kolkata,607,65875,0,Yes,2624
2023-02-06,Tablet,Electronics,Jaipur,752,63831,5,Yes,3428
2024-01-09,Jeans,Fashion,Hyderabad,85,34047,15,No,4951
2023-08-13,Wheat,Grocery,Ahmedabad,314,14126,20,No,4039
2024-11-01,Backpack,Accessories,Lucknow,775,69563,10,Yes,1165
2023-07-01,Rice,Grocery,Bangalore,358,13571,25,No,3066
2023-03-07,Laptop,Electronics,Jaipur,715,41223,25,Yes,1575
2023-10-10,Milk,Grocery,Pune,929,66730,5,Yes,869
2023-10-08,Wheat,Grocery,Mumbai,910,54507,10,Yes,2405
2023-01-27,Wheat,Grocery,Chennai,400,64508,0,No,4199
2024-02-07,Backpack,Accessories,Delhi,246,15125,25,Yes,3487
2024-12-16,T-Shirt,Fashion,Mumbai,466,72389,25,Yes,1889
2023-10-14,Mobile,Electronics,Hyderabad,1027,69643,15,Yes,4350
2023-07-29,Laptop,Electronics,Hyderabad,629,50732,25,No,1317
2023-07-09,Tablet,Electronics,Lucknow,453,39404,20,No,4097
2023-11-17,Mobile,Electronics,Delhi,1131,11994,5,Yes,3859
2024-04-19,Jeans,Fashion,Jaipur,257,25903,0,Yes,1918
2023-09-24,Mobile,Electronics,Kolkata,867,44318,5,Yes,263
2024-07-09,Jacket,Fashion,Chennai,184,70507,5,No,4160
2024-07-17,Rice,Grocery,Hyderabad,457,15124,10,Yes,1291
2023-08-20,Headphones,Electronics,Hyderabad,531,14610,0,No,4195
2023-01-04,Backpack,Accessories,Chennai,314,45933,20,Yes,1026
2024-08-26,Milk,Grocery,Lucknow,604,14341,15,No,4714
2023-02-12,Smart Watch,Electronics,Ahmedabad,465,21937,5,No,3122
2024-01-16,Wheat,Grocery,Lucknow,339,14832,5,No,4768
2023-04-07,Oil,Grocery,Chennai,168,73414,25,No,341
2023-03-13,Biscuits,Grocery,Bangalore,472,27010,30,No,795
2024-02-21,Jacket,Fashion,Delhi,522,47125,30,Yes,2969
2024-10-10,Mobile,Electronics,Bangalore,936,49329,0,No,2816
2023-01-30,Jeans,Fashion,Chennai,613,4452,25,Yes,1903
2023-12-14,Shoes,Fashion,Hyderabad,413,66236,25,No,3221
2023-06-06,Jeans,Fashion,Lucknow,181,78647,5,Yes,2561
2024-05-15,Milk,Grocery,Lucknow,353,2596,30,Yes,2182
2023-01-31,Oil,Grocery,Jaipur,217,5091,10,Yes,4570
2023-08-29,Jeans,Fashion,Ahmedabad,223,20838,15,No,4764
2024-07-10,Jacket,Fashion,Jaipur,217,57888,0,No,3881
2024-06-17,Headphones,Electronics,Hyderabad,437,61024,15,Yes,3671
2024-06-12,Oil,Grocery,Delhi,517,1140,20,Yes,4993
2024-02-22,Jeans,Fashion,Chennai,373,10943,30,No,2158
2024-01-23,Jacket,Fashion,Delhi,412,75405,25,Yes,2011
2024-01-20,Smart Watch,Electronics,Kolkata,573,1591,20,No,4800
2024-03-02,Tablet,Electronics,Pune,838,43473,20,Yes,2939
2024-10-12,Milk,Grocery,Kolkata,643,76493,15,Yes,3495
2024-05-01,Shoes,Fashion,Pune,397,7476,5,No,548
2023-01-07,Jacket,Fashion,Hyderabad,624,62007,10,Yes,4481
2024-07-04,Backpack,Accessories,Kolkata,298,3676,20,No,4860
2024-10-06,Backpack,Accessories,Hyderabad,782,8686,5,Yes,552
2023-05-11,Mobile,Electronics,Hyderabad,727,1264,30,No,3646
2024-03-27,Headphones,Electronics,Kolkata,539,53842,15,Yes,4356
2024-01-09,Laptop,Electronics,Delhi,543,3693,15,Yes,4499
2024-03-25,Milk,Grocery,Chennai,641,48813,20,Yes,4638
2023-05-11,T-Shirt,Fashion,Chennai,122,75284,15,No,3757
2023-10-06,Wheat,Grocery,Delhi,368,75569,5,No,3602
2024-11-08,Mobile,Electronics,Jaipur,775,17735,15,No,882
2024-06-29,Mobile,Electronics,Lucknow,719,77190,30,No,994
2023-11-03,Laptop,Electronics,Jaipur,605,37997,10,No,3439
2023-10-15,Smart Watch,Electronics,Ahmedabad,706,21025,10,No,4698
2024-03-22,Biscuits,Grocery,Chennai,516,25449,0,No,3505
2024-05-07,Oil,Grocery,Lucknow,247,79564,5,No,4624
2024-11-24,Milk,Grocery,Mumbai,506,70762,10,No,462
2023-07-18,Smart Watch,Electronics,Kolkata,828,6021,5,No,2288
2024-08-18,Jeans,Fashion,Kolkata,195,13480,25,No,794
2023-03-23,Wheat,Grocery,Hyderabad,426,43328,20,Yes,2225
2023-03-01,Oil,Grocery,Jaipur,591,42631,0,No,3275
2023-01-18,Oil,Grocery,Mumbai,385,74700,20,Yes,1932
2024-03-15,Rice,Grocery,Delhi,511,27420,25,No,1192
2023-03-04,Tablet,Electronics,Chennai,342,60972,25,No,3259
2023-01-21,Smart Watch,Electronics,Chennai,548,47088,25,No,3584
